Source Label, German Label, Spanish Label, Italian Label
has_obo_format_version, Hat _ obo _ format _ version, ha _ obo _ formato _ version, ha _ obo _ formato di _ versione, _ formáid _ ag _ obo leagan
has_exact_synonym, Hat _ genaue _ Synonym, ha _ exactos _ sinónimo, ha _ esatta _ sinonimo, ainm _ ag _ cruinn
treat-xrefs-as-equivalent, Behandlung von-xrefs-wie-gleichwertige, tratar-xrefs-como-equivalente, trattare-xrefs-come-equivalente, cóireáil-xrefs-mar-coibhéiseach
definition, Definition, definición, definizione, míniú
has_related_synonym, Hat _ verbundenen _ Synonym, ha _ relacionados _ sinónimo, ha _ relativi _ sinonimo, ainm _ ag _ gaolmhara
database_cross_reference, Datenbank _ CROSS _ reference, \"base de datos de referencia _ cross _, database _ cross _ riferimento, bunachar sonraí _ an _ tagartha
has_quality, Hat _ Qualität, tiene calidad., ha _ qualità, ag _ cáilíochta
overlaps, Überschneidungen, se solapa, sovrapposizioni, overlaps
part_of, Der Teil _, parte de, part _ di, _ de chuid
anatomical entity, Anatomische Stelle, entidad anatómicas, entità anatomica, aonán anatamaíoch
anatomical structure, Anatomische Struktur, estructuras anatómicas, struttura anatomica, coirpeog
portion of organism substance, Teil des Organismus Substanz, parte de la sustancia del organismo, porzione di sostanza dell ’ organismo, an chuid den ábhar orgánach
anatomical space, Anatomische Space, anatomía de espacio, spazio di anatomia, spás anatamaíoch
material anatomical entity, Anatomische Stelle Material, importante entidad anatómicas, materiale di anatomia entità, ábhar eintiteas anatamaíoch
immaterial anatomical entity, Immaterielle anatomische Stelle, entidad de importancia anatómica, irrilevante anatomico entità, ní eintiteas anatamaíoch
anatomical line, Anatomische Zeile, línea anatómicas, linea anatomica, líne anatamaíoch
anatomical point, Anatomischer Punkt, punto anatómico, punto anatomico, pointe anatamaíoch
anatomical surface, Anatomische Oberfläche, anatomía de superficie, superficie anatomica, dromchla anatamaíoch
anatomical system, Anatomische System, sistema anatómicas, sistema di anatomia, córas anatamaíoch
multi-cellular organism, Multi-zellulären Organismus, multi-organismo celular, multi-organismo alveolare, il--orgánach ceallach
cell, Zelle, celda, cellulare, cill
